first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Jayden,Washington,9,69,7.7,0,,,,,,1,7,7.0,0
Jarrett,Gronski,16,41,2.6,0,,,,,,1,10,10.0,0
Justin,Incaprera,6,34,5.7,0,,,,,,2,13,6.5,0
Sam,McGath,7,29,4.1,0,20,36,195,2,1,,,,
Brice,Peters,,,,,,,,,,5,72,14.4,2
Drayton,Lehman,,,,,,,,,,6,38,6.3,0
Kaleb,Miller,,,,,,,,,,2,27,13.5,0
Aundreus,Griffin,,,,,,,,,,2,19,9.5,0
Joey,Baron,,,,,,,,,,1,9,9.0,0
Michael,Schurman,,,,,,,,,,0,0,0.0,0
Kurt,Heerdegen,,,,,,,,,,0,0,0.0,0
