Rushing Att. Gain Loss Net TD Lg. Avg.
Bankhead,Amir 11 36 2 34 0 11 3.1
Trandahl,Andrew 8 27 0 27 0 8 3.4
Massoud,Sofian 6 22 13 9 0 11 1.5
Avinger,Lucky 2 1 0 1 0 1 0.5
Mahe,Tuakoi 1 0 1 -1 0 0 -1.0

Passing Cmp Att. Yds. TD INT Long Sack
Massoud,Sofian 21 25 178 1 1 68 1

Receiving Rec. Yds TD Long.
Jablonski,Karsyn 1 68 1 68
Bankhead,Amir 4 43 0 17
Rufai,Mujeeb 4 30 0 16
Trandahl,Andrew 6 29 0 22
Larson,Maxwell 1 6 0 6
Young,Jaxon 2 5 0 4
Butler,Kevin 0 0 0 0
Washington,Kalani 3 -3 0 0
