first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Amir,Bankhead,11,34,3.1,0,,,,,,4,43,10.8,0
Andrew,Trandahl,8,27,3.4,0,,,,,,6,29,4.8,0
Sofian,Massoud,6,9,1.5,0,21,25,178,1,1,,,,
Lucky,Avinger,2,1,0.5,0,,,,,,,,,
Tuakoi,Mahe,1,-1,-1.0,0,,,,,,,,,
Karsyn,Jablonski,,,,,,,,,,1,68,68.0,1
Mujeeb,Rufai,,,,,,,,,,4,30,7.5,0
Maxwell,Larson,,,,,,,,,,1,6,6.0,0
Jaxon,Young,,,,,,,,,,2,5,2.5,0
Kevin,Butler,,,,,,,,,,0,0,0.0,0
Kalani,Washington,,,,,,,,,,3,-3,-1.0,0
