first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Latravious,Boyd,7,141,20.1,2,,,,,,,,,
Dawson,Forgy,12,80,6.7,0,,,,,,,,,
Nick,Bohn,3,31,10.3,0,7,14,113,3,1,,,,
Jason,Jones,2,4,2.0,0,,,,,,,,,
Bennett,Dannenbring,1,0,0.0,0,1,3,80,1,0,,,,
Keaten,Bonderson,,,,,,,,,,1,80,80.0,1
Trevor,Marshall,,,,,,,,,,2,44,22.0,0
Curtis,Witte,,,,,,,,,,1,29,29.0,1
Kendrick,Watkins-Hogue,,,,,,,,,,2,24,12.0,1
Jadon,Johnson,,,,,,,,,,2,16,8.0,1
DJ,McPherson,,,,,,,,,,0,0,0.0,0
Colton,Andrews,,,,,,,,,,0,0,0.0,0
Akeem,Knox,,,,,,,,,,0,0,0.0,0
Alex,Phelps,,,,,,,,,,0,0,0.0,0
