first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Casey,Bauman,8,53,6.6,2,22,28,226,1,1,,,,
Kyle,Graham,9,53,5.9,1,,,,,,1,4,4.0,0
Rashad,Lampkin,8,43,5.4,0,,,,,,1,1,1.0,0
Jarod,Epperson,6,28,4.7,0,,,,,,3,36,12.0,0
Jack,Teigen,4,21,5.3,0,,,,,,,,,
Thomas,Scholten,1,7,7.0,0,1,1,4,0,0,,,,
Logan,Uttecht,,,,,,,,,,5,65,13.0,0
Canyon,Bauer,,,,,,,,,,3,46,15.3,1
Jack,Fisher,,,,,,,,,,5,32,6.4,0
Isaiah,Huber,,,,,,,,,,2,19,9.5,0
Mitchell,Goodbary,,,,,,,,,,1,17,17.0,0
Devon,Jones,,,,,,,,,,2,10,5.0,0
