first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Dylan,Rudningen,23,67,2.9,2,,,,,,2,25,12.5,0
Camden,Dean,16,65,4.1,1,17,29,189,0,1,,,,
Carter,Slykhuis,2,35,17.5,0,,,,,,6,54,9.0,0
Christian,Nash,8,30,3.8,0,,,,,,,,,
Matt,Grzybowski,6,8,1.3,1,,,,,,,,,
Mark,Leonard,,,,,,,,,,2,50,25.0,0
Adonis,Hutchinson,,,,,,,,,,2,39,19.5,0
Cade,Morse,,,,,,,,,,1,8,8.0,0
Travis,Yohnke,,,,,,,,,,1,8,8.0,0
Hank,Brown Jr.,,,,,,,,,,1,5,5.0,0
Jaelon,Taylor,,,,,,,,,,2,0,0.0,0
