first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Jaylin,Richardson,20,131,6.6,0,,,,,,0,0,0.0,0
Daniel,Hornacek,4,46,11.5,1,,,,,,1,9,9.0,0
Jaylon,Washington,3,18,6.0,0,,,,,,2,16,8.0,0
Reed,Styer,5,12,2.4,0,14,25,91,0,1,,,,
Troy,Ellison,1,4,4.0,1,,,,,,2,15,7.5,0
Carter,Ryan,,,,,,,,,,3,20,6.7,0
Peter,Udoibok,,,,,,,,,,2,8,4.0,0
Drew,Enke,,,,,,,,,,1,6,6.0,0
Russell,Corrigan,,,,,,,,,,1,6,6.0,0
Julius,Reynolds,,,,,,,,,,1,6,6.0,0
Ricky,Dixon,,,,,,,,,,1,5,5.0,0
