first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Sam,Backer,13,159,12.2,1,,,,,,1,9,9.0,0
Hayden,Ekern,14,66,4.7,1,19,33,252,1,1,,,,
Christian,Vasser,9,45,5.0,0,,,,,,1,5,5.0,0
Tony,Anger,11,43,3.9,1,,,,,,1,6,6.0,0
Jeremiah,Howard,1,23,23.0,0,,,,,,1,1,1.0,0
Neal,May,1,-1,-1.0,0,,,,,,,,,
TreShawn,Watson,,,,,,,,,,7,102,14.6,1
Grant,Guyett,,,,,,,,,,4,59,14.8,0
Isaiah,Emanuel,,,,,,,,,,2,52,26.0,0
Gabe,Hagen,,,,,,,,,,1,9,9.0,0
Andrew,Laplant,,,,,,,,,,1,9,9.0,0
