first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Jeremiah,Moore,3,51,17.0,1,,,,,,1,2,2.0,0
Sofian,Massoud,12,31,2.6,1,32,48,305,1,1,,,,
Andrew,Trandahl,2,6,3.0,0,,,,,,3,16,5.3,0
Mujeeb,Rufai,,,,,,,,,,12,124,10.3,1
Karsyn,Jablonski,,,,,,,,,,7,103,14.7,0
Luke,Bodine,,,,,,,,,,6,47,7.8,0
Jaxon,Young,,,,,,,,,,1,4,4.0,0
Lucky,Avinger,,,,,,,,,,1,3,3.0,0
Ryan,Piepgras,,,,,,,,,,1,3,3.0,0
Malaki,Sik,,,,,,,,,,0,0,0.0,0
