Rushing Att. Gain Loss Net TD Lg. Avg.
Hendred,Cair'ron 15 101 2 99 2 32 6.6
Gavin,Ty 12 54 0 54 2 15 4.5
Stenstrom,Cole 7 16 9 7 0 8 1.0
Flottmeyer,Jackson 3 7 1 6 0 4 2.0
Holcomb,Cayden 1 0 1 -1 0 0 -1.0

Passing Cmp Att. Yds. TD INT Long Sack
Stenstrom,Cole 21 27 257 0 0 45 2

Receiving Rec. Yds TD Long.
Campbell,Sylvere 8 136 0 45
Johnson,Ty 4 45 0 26
Skelly,Kaleb 3 26 0 17
Holcomb,Cayden 2 21 0 15
Gavin,Ty 1 16 0 16
Hendred,Cair'ron 2 8 0 5
Durst,James 1 5 0 5
Buri,Josh 0 0 0 0
