first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Rashad,Lampkin,6,26,4.3,0,,,,,,,,,
Max,Grand,4,11,2.8,0,,,,,,1,-5,-5.0,0
Jarod,Epperson,6,10,1.7,0,,,,,,4,21,5.2,0
Thomas,Scholten,3,1,0.3,0,12,18,55,0,1,,,,
Evan,Bearth,,,,,8,17,92,0,0,,,,
Sam,Scholten,,,,,0,1,0,0,0,1,1,1.0,0
Isaiah,Huber,,,,,,,,,,5,53,10.6,0
Canyon,Bauer,,,,,,,,,,5,37,7.4,0
Max,Minor,,,,,,,,,,2,26,13.0,0
Matt,Francis,,,,,,,,,,1,8,8.0,0
Austin,Johnston,,,,,,,,,,1,6,6.0,0
Jack,Fisher,,,,,,,,,,0,0,0.0,0
Jake,Pecina,,,,,,,,,,0,0,0.0,0
