first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Cair'ron,Hendred,15,99,6.6,2,,,,,,2,8,4.0,0
Ty,Gavin,12,54,4.5,2,,,,,,1,16,16.0,0
Cole,Stenstrom,7,7,1.0,0,21,27,257,0,0,,,,
Jackson,Flottmeyer,3,6,2.0,0,,,,,,,,,
Cayden,Holcomb,1,-1,-1.0,0,,,,,,2,21,10.5,0
Sylvere,Campbell,,,,,,,,,,8,136,17.0,0
Ty,Johnson,,,,,,,,,,4,45,11.2,0
Kaleb,Skelly,,,,,,,,,,3,26,8.7,0
James,Durst,,,,,,,,,,1,5,5.0,0
Josh,Buri,,,,,,,,,,0,0,0.0,0
