first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Latravious,Boyd,5,27,5.4,0,,,,,,0,0,0.0,0
Colton,Andrews,2,11,5.5,0,,,,,,1,3,3.0,0
Akeem,Knox,3,7,2.3,0,,,,,,1,5,5.0,0
Brennan,Hayes,1,2,2.0,0,,,,,,1,5,5.0,0
Brady,McGill,1,1,1.0,0,,,,,,,,,
Nick,Bohn,7,-6,-0.9,0,20,40,183,2,0,,,,
Kendrick,Watkins-Hogue,,,,,,,,,,5,82,16.4,1
Ashten,Schmaderer,,,,,,,,,,7,57,8.1,0
Jadon,Johnson,,,,,,,,,,3,21,7.0,0
Trey,Miller,,,,,,,,,,1,8,8.0,1
Dane,Petersen,,,,,,,,,,1,2,2.0,0
