first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Wyatt,Oak,8,40,5.0,0,5,10,42,0,1,,,,
Jacob,Honstetter,18,35,1.9,1,,,,,,1,10,10.0,0
Kendon,Krogman,8,29,3.6,0,5,9,53,0,0,,,,
DaNari,Connors,6,18,3.0,0,,,,,,,,,
Greg,Schafer,1,7,7.0,0,,,,,,,,,
Jake,Anderson,1,3,3.0,0,,,,,,5,55,11.0,0
Colin,Maher,2,-3,-1.5,0,,,,,,0,0,0.0,0
Nathan,Stearns,,,,,,,,,,3,27,9.0,0
Jonathan,Wamsley,,,,,,,,,,1,3,3.0,0
Omar,Abdi,,,,,,,,,,0,0,0.0,0
Tryg,Auten,,,,,,,,,,0,0,0.0,0
