first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Jaylin,Richardson,23,104,4.5,1,,,,,,0,0,0.0,0
Daniel,Hornacek,2,11,5.5,0,,,,,,1,2,2.0,0
Jackson,Compton,2,-4,-2.0,0,15,28,123,0,2,,,,
Drew,Enke,,,,,,,,,,4,49,12.2,0
Peter,Udoibok,,,,,,,,,,2,21,10.5,0
Troy,Ellison,,,,,,,,,,3,20,6.7,0
Julius,Reynolds,,,,,,,,,,1,9,9.0,0
EJ,Stoffel,,,,,,,,,,1,8,8.0,0
Jaylon,Washington,,,,,,,,,,2,7,3.5,0
Jay,Hardy,,,,,,,,,,1,7,7.0,0
Carter,Ryan,,,,,,,,,,0,0,0.0,0
Russell,Corrigan,,,,,,,,,,0,0,0.0,0
