first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Carlson,Tann III,12,125,10.4,1,,,,,,,,,
Camden,Dean,11,100,9.1,1,8,14,123,2,2,,,,
Dylan,Rudningen,9,16,1.8,1,,,,,,,,,
Adam,Mullen,3,13,4.3,0,5,9,57,0,0,,,,
Christian,Nash,3,9,3.0,0,,,,,,,,,
Matt,Grzybowski,5,6,1.2,0,,,,,,,,,
Hank,Brown Jr.,,,,,,,,,,6,66,11.0,1
Christian,Janis,,,,,,,,,,1,50,50.0,1
Adonis,Hutchinson,,,,,,,,,,2,31,15.5,0
Travis,Yohnke,,,,,,,,,,3,29,9.7,0
Ethan,Bachmann,,,,,,,,,,1,4,4.0,0
Carter,Slykhuis,,,,,,,,,,0,0,0.0,0
Jacqueze,Lockett,,,,,,,,,,0,0,0.0,0
Noah,Robertson,,,,,,,,,,0,0,0.0,0
