first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Fynn,Ridgeway,9,66,7.3,0,,,,,,2,23,11.5,1
Owen,Wiersma,3,41,13.7,1,,,,,,,,,
Tommy,Falk,2,13,6.5,0,9,10,98,1,0,1,4,4.0,0
Jack,Strand,3,13,4.3,0,19,36,244,5,0,,,,
Tyson,Brandt,5,8,1.6,0,,,,,,2,21,10.5,1
Grant,Warkenthien,1,5,5.0,0,2,3,53,0,0,,,,
Luke,Imdieke,1,0,0.0,0,,,,,,3,25,8.3,0
Madden,Thorson,,,,,,,,,,6,100,16.7,1
Brady,Perryman,,,,,,,,,,4,68,17.0,2
Gage,Florence,,,,,,,,,,6,59,9.8,0
Carson,Elbert,,,,,,,,,,2,36,18.0,1
Brady,Borgen,,,,,,,,,,1,29,29.0,0
Kelly,Johnson,,,,,,,,,,2,28,14.0,0
JD,Czech,,,,,,,,,,1,2,2.0,0
Louis,Sobiech,,,,,,,,,,0,0,0.0,0
