first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Jacob,Honstetter,7,9,1.3,0,,,,,,0,0,0.0,0
Zander,Wolf,3,6,2.0,0,,,,,,,,,
Wyatt,Oak,12,-4,-0.3,2,17,46,161,0,0,,,,
Jake,Anderson,,,,,,,,,,3,40,13.3,0
Colin,Maher,,,,,,,,,,3,25,8.3,0
Stevie,McMath,,,,,,,,,,3,21,7.0,0
Tryg,Auten,,,,,,,,,,2,19,9.5,0
David,Ola-Kazeem,,,,,,,,,,1,18,18.0,0
Nathan,Stearns,,,,,,,,,,2,14,7.0,0
Cade,Eddington,,,,,,,,,,1,12,12.0,0
Erik,Vedoy,,,,,,,,,,1,8,8.0,0
Shaun,Walrath,,,,,,,,,,1,4,4.0,0
Greg,Schafer,,,,,,,,,,0,0,0.0,0
