first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Quentin,Pringle,14,48,3.4,1,,,,,,2,25,12.5,0
Jackson,Flottmeyer,6,40,6.7,0,0,2,0,0,0,,,,
Ty,Gavin,11,36,3.3,1,,,,,,0,0,0.0,0
Cole,Stenstrom,4,-7,-1.8,0,17,33,199,1,1,,,,
Sylvere,Campbell,,,,,,,,,,6,80,13.3,1
Cayden,Holcomb,,,,,,,,,,3,54,18.0,0
Joe,Sikma,,,,,,,,,,3,29,9.7,0
Thomas,Kiesau,,,,,,,,,,1,11,11.0,0
Josh,Buri,,,,,,,,,,1,3,3.0,0
Maurice,Densmore,,,,,,,,,,0,0,0.0,0
Jonathan,Mann,,,,,,,,,,1,-3,-3.0,0
