first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Kyle,Walljasper,18,77,4.3,0,16,26,177,3,0,,,,
Derrick,Johnson,10,66,6.6,1,,,,,,,,,
Daniel,Mitchell,5,34,6.8,0,,,,,,,,,
DaShaun,Ames,1,14,14.0,0,,,,,,3,44,14.7,0
Ben,Vallafskey,2,5,2.5,0,,,,,,,,,
Alex,Riley,1,3,3.0,0,,,,,,1,7,7.0,1
Ryder,Patterson,1,2,2.0,0,,,,,,5,57,11.4,1
Jimmy,Durocher,,,,,,,,,,3,25,8.3,0
Sam,Pitz,,,,,,,,,,1,20,20.0,0
Cole,Ewald,,,,,,,,,,1,15,15.0,1
Chuck,Gilbert III,,,,,,,,,,1,7,7.0,0
Joel,Forgacs,,,,,,,,,,1,2,2.0,0
