first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Sam,Backer,14,38,2.7,1,,,,,,1,28,28.0,0
Christian,Vasser,4,17,4.3,0,,,,,,0,0,0.0,0
Neal,May,2,2,1.0,0,,,,,,,,,
Hayden,Ekern,10,-1,-0.1,0,15,29,185,1,0,,,,
Jack,Kalman,1,-8,-8.0,0,,,,,,,,,
Joey,Goettl,1,-18,18.0,0,,,,,,,,,
Isaiah,Emanuel,,,,,,,,,,4,57,14.2,0
Grant,Guyett,,,,,,,,,,2,48,24.0,1
TreShawn,Watson,,,,,,,,,,5,32,6.4,0
Gabe,Hagen,,,,,,,,,,2,21,10.5,0
Tony,Anger,,,,,,,,,,1,-1,-1.0,0
