78	Caydon Christensen	OL	6-3	303	Jr.	Belmond, Iowa	Belmond-Klemme HS	
79	CJ Picazo	OL	6-3	295	Jr.	Tuscola, Ill.	Tuscola Community HS	
80	Carter Ryan	WR	6-0	185	So.	Sterling, Ill.	Sterling HS	
82	James Wade	TE	6-3	265	Jr.	Yorktown, Va.	York HS	West Georgia
83	Ricky Dixon	WR	5-9	184	So.	St. Louis, Mo.	Lutheran North HS	
83	Jude Onuoha	LB	6-2	215	R-Fr.	Little Rock, Ark.	Parkview HS	
83	Kenny Steffen	K	5-11	170	Fr.	Savage, Minn.	Burnsville HS	
84	Skyler Sanders	TE	6-2	245	So.	Shoreview, Minn.	Irondale HS	
85	Brock Thornton	WR	6-5	220	Jr.	Menomonie, Wis.	Menomonie HS	
86	EJ Stoffel	TE	6-3	245	So.	Milwaukee, Wis.	Milwaukee Academy of Science	
87	Julius Reynolds	WR	6-4	210	Jr.	Coon Rapids, Minn.	Blaine HS	
88	Rene Zaldivar	WR	5-11	206	Sr.	La Puente, Calif.	Los Altos HS	East Los Angeles College
89	Riley Heller	TE	6-5	255	Sr.	Bloomfield, Iowa	Davis County HS	
90	DJ Jones	DL	6-5	225	So.	Hattiesburg, Miss.	Callaway HS	
92	Fela McConnell	DL	6-3	264	Fr.	Minneapolis, Minn.	Central HS	
93	McKinley Neville	DL	6-4	285	Sr.	Batavia, Ill.	Batavia HS	Reedley College
94	Percy Robertson	DL	6-4	285	So.	Wauwatosa, Wis.	Wauwatosa East HS	
95	Ryan Martin	DL	6-4	260	Sr.	Kissimmee, Fla.	Poinciana HS	Minnesota Crookston
96	Keyshawn Pettis	DL	6-3	295	Jr.	Omaha, Neb.	Creighton Prep	
97	Marquis Coleman	DL	6-3	220	R-Fr.	St. Louis, Mo.	Lutheran North HS	
98	Capri Wilson	DL	6-3	234	Jr.	Cedar Falls, IA	Cedar Falls HS	Iowa Western
99	Lucas Becker	DL	6-5	275	Sr.	Blaine, Minn.	Blaine HS	South Dakota
00 Eli Anderson	DB	5-10	170	Fr.	Racine, Wis.	Case HS	
00 Danny Coffey	DL	6-1	285	Fr.	Glendale Heights, Ill.	Glenbard West HS	
00 Jason Curry	DB	6-3	205	Fr.	Jensen Beach, Fla.	Jensen Beach HS	
00 Randy Davis	WR	5-10	160	Fr.	Madison, Wis.	Madison East HS	
