first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Hank,Kraft,11,40,3.6,0,,,,,,1,5,5.0,0
Noah,Smith,4,11,2.8,0,,,,,,1,3,3.0,0
Stanley,Haskins Jr.,4,9,2.3,0,,,,,,,,,
Wyatt,Block,3,4,1.3,0,,,,,,2,30,15.0,0
Colton,Hackel,9,-21,-2.3,0,11,28,102,1,2,,,,
Jacob,Van Landingham,,,,,,,,,,3,34,11.3,0
Ty,Wiley,,,,,,,,,,3,21,7.0,1
Julian,Scott,,,,,,,,,,1,9,9.0,0
Tanner,Branson,,,,,,,,,,0,0,0.0,0
Cade,Kaiser,,,,,,,,,,0,0,0.0,0
