first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Akeem,Knox,11,32,2.9,0,,,,,,2,18,9.0,0
Latravious,Boyd,5,17,3.4,0,,,,,,1,26,26.0,1
Dawson,Forgy,3,4,1.3,0,,,,,,,,,
Jason,Jones,1,1,1.0,0,,,,,,,,,
Dane,Petersen,0,0,0.0,0,,,,,,,,,
Nick,Bohn,10,-15,-1.5,0,17,30,208,4,0,,,,
Kendrick,Watkins-Hogue,,,,,,,,,,7,103,14.7,2
Keaten,Bonderson,,,,,,,,,,2,37,18.5,1
Ashten,Schmaderer,,,,,,,,,,3,22,7.3,0
Trevor,Marshall,,,,,,,,,,1,5,5.0,0
Jadon,Johnson,,,,,,,,,,0,0,0.0,0
DJ,McPherson,,,,,,,,,,1,-3,-3.0,0
