first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Kyle,Walljasper,17,138,8.1,1,11,17,135,2,0,,,,
Alex,Riley,5,27,5.4,1,,,,,,1,8,8.0,0
Daniel,Mitchell,6,18,3.0,0,,,,,,2,9,4.5,0
AJ,Boarman,3,7,2.3,0,,,,,,,,,
Francis,O'Malley,4,6,1.5,0,,,,,,,,,
Ben,Vallafskey,2,2,1.0,0,,,,,,,,,
Jacob,Eggert,2,-17,-8.5,0,3,4,49,1,1,,,,
DaShaun,Ames,,,,,,,,,,1,49,49.0,0
Jimmy,Durocher,,,,,,,,,,3,34,11.3,1
Tanner,Schmidt,,,,,,,,,,1,30,30.0,1
Ryder,Patterson,,,,,,,,,,3,24,8.0,1
Sam,Pitz,,,,,,,,,,1,11,11.0,0
Tyler,Collien,,,,,,,,,,1,10,10.0,0
Trace,Bowman,,,,,,,,,,1,9,9.0,0
Cole,Ewald,,,,,,,,,,0,0,0.0,0
