first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Kendon,Krogman,14,52,3.7,1,19,28,186,1,1,,,,
Jacob,Honstetter,14,42,3.0,0,,,,,,3,17,5.7,0
Colin,Maher,1,20,20.0,0,,,,,,4,60,15.0,0
Zander,Wolf,4,8,2.0,0,,,,,,1,2,2.0,0
Greg,Schafer,1,3,3.0,0,,,,,,,,,
Jake,Anderson,,,,,0,1,0,0,0,2,11,5.5,0
Tryg,Auten,,,,,,,,,,4,63,15.8,1
David,Ola-Kazeem,,,,,,,,,,2,11,5.5,0
Omar,Abdi,,,,,,,,,,1,9,9.0,0
Cade,Eddington,,,,,,,,,,1,7,7.0,0
Jonathan,Wamsley,,,,,,,,,,1,6,6.0,0
Erik,Vedoy,,,,,,,,,,0,0,0.0,0
