first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Cair'ron,Hendred,19,84,4.4,0,,,,,,,,,
Ty,Gavin,7,32,4.6,0,,,,,,1,2,2.0,0
Josh,Buri,3,18,6.0,0,,,,,,1,8,8.0,0
Tristan,Root,1,14,14.0,0,,,,,,,,,
Jackson,Flottmeyer,3,5,1.7,0,1,5,7,0,0,,,,
Cayden,Holcomb,2,0,0.0,0,,,,,,3,110,36.7,2
Cole,Stenstrom,4,-7,-1.8,0,10,18,197,3,1,,,,
Sylvere,Campbell,,,,,1,1,6,0,0,1,25,25.0,0
Maurice,Densmore,,,,,,,,,,2,19,9.5,0
Ty,Johnson,,,,,,,,,,1,16,16.0,0
James,Durst,,,,,,,,,,1,15,15.0,1
Thomas,Kiesau,,,,,,,,,,1,8,8.0,0
Jim,Curtin,,,,,,,,,,1,7,7.0,0
