first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Sam,Buckhanan,9,57,6.3,0,,,,,,,,,
Blake,Espino,7,26,3.7,0,,,,,,,,,
Evan,Lovett,9,24,2.7,0,,,,,,,,,
Devan,Daniels,3,20,6.7,0,,,,,,,,,
Tyler,Stonebraker,3,14,4.7,0,,,,,,,,,
Tyson,Ruzicka,6,13,2.2,1,,,,,,,,,
Ricco,Sastoque,1,12,12.0,0,,,,,,,,,
Jonathan,Noriega,2,11,5.5,0,,,,,,1,24,24.0,0
Michael,Clark,2,9,4.5,0,,,,,,,,,
Will,King III,3,4,1.3,0,,,,,,,,,
Erik,Palmquist,5,3,0.6,0,,,,,,0,0,0.0,0
Aiden,Shumate,0,0,0.0,0,,,,,,,,,
Carson,Chrisman,4,-1,-0.3,0,4,8,40,0,1,,,,
Aiden,George,,,,,,,,,,2,11,5.5,0
Johnny,Bellino,,,,,,,,,,1,5,5.0,0
