first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Andrew,Trandahl,15,19,1.3,0,,,,,,3,9,3.0,0
Carl,Henry,5,12,2.4,0,,,,,,1,5,5.0,0
Mustapha,Yekini,1,-4,-4.0,0,1,1,10,0,0,,,,
Solomon,Polo,Jordan,26,10,-6,Jordan,25,38,186,0,,,,
Karsyn,Jablonski,,,,,,,,,,6,66,11.0,0
Luke,Bodine,,,,,,,,,,6,46,7.7,0
Mujeeb,Rufai,,,,,,,,,,5,38,7.6,0
Jaxon,Young,,,,,,,,,,4,22,5.5,0
Ethan,Heinrich,,,,,,,,,,1,10,10.0,0
Malaki,Sik,,,,,,,,,,0,0,0.0,0
Maxwell,Larson,,,,,,,,,,0,0,0.0,0
