first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Ty,Gavin,5,29,5.8,0,,,,,,,,,
Quentin,Pringle,6,25,4.2,0,,,,,,1,-3,-3.0,0
Jackson,Flottmeyer,14,21,1.5,0,12,22,116,0,1,,,,
Josh,Buri,6,21,3.5,0,,,,,,,,,
Cair'ron,Hendred,7,17,2.4,0,,,,,,1,5,5.0,0
Cayden,Holcomb,1,2,2.0,0,,,,,,2,29,14.5,0
Cole,Stenstrom,1,1,1.0,0,3,9,52,0,0,,,,
Joe,Sikma,,,,,,,,,,4,51,12.8,0
Jim,Curtin,,,,,,,,,,2,47,23.5,0
Ty,Johnson,,,,,,,,,,1,12,12.0,0
James,Durst,,,,,,,,,,1,12,12.0,0
Cole,Lipper,,,,,,,,,,1,6,6.0,0
Mason,Kolling,,,,,,,,,,1,5,5.0,0
Sylvere,Campbell,,,,,,,,,,1,4,4.0,0
Thomas,Kiesau,,,,,,,,,,0,0,0.0,0
Maurice,Densmore,,,,,,,,,,0,0,0.0,0
