first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Evan,Lovett,10,57,5.7,1,,,,,,,,,
Carson,Chrisman,16,42,2.6,0,7,12,35,0,0,,,,
Sam,Buckhanan,3,10,3.3,0,,,,,,,,,
Tyler,Stonebraker,1,6,6.0,0,,,,,,2,5,2.5,0
Erik,Palmquist,1,5,5.0,0,,,,,,1,-6,-6.0,0
Aaron,Wood,1,-2,-2.0,0,,,,,,,,,
Devan,Daniels,2,-4,-2.0,0,,,,,,1,7,7.0,0
Jonathan,Noriega,,,,,,,,,,2,17,8.5,0
Damon,Darling,,,,,,,,,,1,12,12.0,0
Johnny,Bellino,,,,,,,,,,0,0,0.0,0
