first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Brennan,Hayes,9,137,15.2,1,,,,,,,,,
Latravious,Boyd,10,31,3.1,2,,,,,,0,0,0.0,0
Nick,Bohn,11,28,2.5,1,6,13,76,0,1,,,,
Akeem,Knox,4,17,4.3,0,,,,,,,,,
Jason,Jones,2,10,5.0,0,,,,,,,,,
Colton,Andrews,1,-1,-1.0,0,,,,,,,,,
Keaten,Bonderson,,,,,,,,,,1,42,42.0,0
Jadon,Johnson,,,,,,,,,,2,17,8.5,0
Trevor,Marshall,,,,,,,,,,2,13,6.5,0
Curtis,Witte,,,,,,,,,,1,4,4.0,0
Dane,Petersen,,,,,,,,,,0,0,0.0,0
