first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Alex,Riley,10,85,8.5,1,,,,,,,,,
Derrick,Johnson,5,47,9.4,0,,,,,,1,3,3.0,0
Ben,Vallafskey,4,13,3.3,0,,,,,,0,0,0.0,0
DaShaun,Ames,1,-1,-1.0,0,,,,,,6,63,10.5,1
Daniel,Mitchell,1,-1,-1.0,0,,,,,,,,,
Jacob,Eggert,4,-14,-3.5,0,20,35,247,2,4,,,,
Justin,Hull,,,,,1,1,6,0,0,,,,
Jimmy,Durocher,,,,,,,,,,5,134,26.8,1
Sam,Pitz,,,,,,,,,,6,37,6.2,0
Chuck,Gilbert III,,,,,,,,,,2,10,5.0,0
Jonathan,Shrum,,,,,,,,,,1,6,6.0,0
Nick,Ojile,,,,,,,,,,0,0,0.0,0
Ryder,Patterson,,,,,,,,,,0,0,0.0,0
