first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
DaNari,Connors,12,20,1.7,0,,,,,,2,5,2.5,0
Greg,Schafer,2,10,5.0,0,,,,,,0,0,0.0,0
Kendon,Krogman,14,9,0.6,0,4,10,81,0,1,,,,
Nathan,Stearns,1,9,9.0,0,,,,,,1,7,7.0,0
Jonathan,Wamsley,2,7,3.5,0,,,,,,0,0,0.0,0
Shaun,Walrath,1,4,4.0,0,,,,,,,,,
Stevie,McMath,1,0,0.0,0,,,,,,1,38,38.0,0
Wyatt,Oak,5,-15,-3.0,0,9,15,116,1,1,,,,
Colin,Maher,,,,,,,,,,3,91,30.3,1
David,Ola-Kazeem,,,,,,,,,,2,25,12.5,0
Jake,Anderson,,,,,,,,,,2,18,9.0,0
Tryg,Auten,,,,,,,,,,2,13,6.5,0
