first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Fynn,Ridgeway,7,26,3.7,1,,,,,,,,,
Jack,Strand,5,14,2.8,0,18,24,207,3,0,,,,
Owen,Wiersma,2,14,7.0,0,,,,,,,,,
Tyson,Brandt,5,11,2.2,0,,,,,,,,,
Grant,Warkenthien,1,3,3.0,0,3,3,19,0,0,,,,
Luke,Imdieke,1,3,3.0,0,,,,,,1,11,11.0,0
Gage,Florence,1,-5,-5.0,0,,,,,,3,14,4.7,0
Tommy,Falk,4,-7,-1.8,0,3,6,23,0,0,,,,
Madden,Thorson,,,,,,,,,,6,100,16.7,0
Brady,Perryman,,,,,,,,,,6,74,12.3,2
Carson,Elbert,,,,,,,,,,2,14,7.0,0
Louis,Sobiech,,,,,,,,,,2,14,7.0,0
Brady,Borgen,,,,,,,,,,1,10,10.0,0
Jordan,Marty,,,,,,,,,,1,6,6.0,0
Brody,Headley,,,,,,,,,,1,5,5.0,0
JD,Czech,,,,,,,,,,1,1,1.0,1
