first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Alex,Riley,12,103,8.6,3,,,,,,,,,
Derrick,Johnson,17,74,4.4,0,,,,,,,,,
Daniel,Mitchell,4,34,8.5,0,,,,,,,,,
Logan,Kobus,1,29,29.0,0,,,,,,,,,
Jimmy,Durocher,1,17,17.0,0,,,,,,6,51,8.5,1
Ryder,Patterson,2,16,8.0,0,,,,,,4,40,10.0,0
Kyle,Walljasper,9,14,1.6,0,15,22,156,2,1,,,,
Ben,Vallafskey,3,5,1.7,0,,,,,,,,,
Chuck,Gilbert III,,,,,,,,,,3,48,16.0,0
Cole,Ewald,,,,,,,,,,1,12,12.0,1
Sam,Pitz,,,,,,,,,,1,5,5.0,0
Nick,Ojile,,,,,,,,,,0,0,0.0,0
