first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Jayden,Washington,17,88,5.2,1,,,,,,3,20,6.7,0
Jarrett,Gronski,6,38,6.3,1,,,,,,,,,
Sam,McGath,8,33,4.1,1,21,39,231,1,0,,,,
Justin,Incaprera,4,7,1.8,0,,,,,,,,,
Zach,Ott,0,0,0.0,0,,,,,,,,,
Brice,Peters,,,,,,,,,,5,84,16.8,0
Drayton,Lehman,,,,,,,,,,7,65,9.3,0
Aundreus,Griffin,,,,,,,,,,2,25,12.5,1
Joey,Baron,,,,,,,,,,1,22,22.0,0
Kaleb,Miller,,,,,,,,,,3,15,5.0,0
