first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Wyatt,Block,22,102,4.6,2,,,,,,2,18,9.0,0
Hank,Kraft,12,101,8.4,0,,,,,,0,0,0.0,0
Daniel,Britt,7,75,10.7,2,15,28,131,1,1,,,,
Tom,Ellard,,,,,1,1,1,0,0,,,,
Tanner,Branson,,,,,,,,,,4,38,9.5,0
Jacob,Van Landingham,,,,,,,,,,5,38,7.6,1
Collin,Fritton,,,,,,,,,,2,18,9.0,0
Ty,Wiley,,,,,,,,,,1,10,10.0,0
Cade,Kaiser,,,,,,,,,,1,9,9.0,0
Trevor,Schwartz,,,,,,,,,,1,1,1.0,0
Zach,Kraft,,,,,,,,,,0,0,0.0,0
