first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Jarod,Epperson,15,72,4.8,2,,,,,,3,18,6.0,0
Ryan,Kenny,6,32,5.3,0,,,,,,1,2,2.0,0
Gunnar,Hensley,12,25,2.1,0,24,34,263,2,1,,,,
Rashad,Lampkin,4,10,2.5,0,,,,,,,,,
Kyle,Graham,2,-4,-2.0,0,,,,,,,,,
Jack,Fisher,,,,,,,,,,6,108,18.0,0
Isaiah,Huber,,,,,,,,,,5,50,10.0,1
Canyon,Bauer,,,,,,,,,,2,43,21.5,1
Austin,Johnston,,,,,,,,,,3,23,7.7,0
Max,Minor,,,,,,,,,,2,10,5.0,0
Jacob,Remmert,,,,,,,,,,2,9,4.5,0
Matt,Francis,,,,,,,,,,0,0,0.0,0
