first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Jaylin,Richardson,32,143,4.5,3,,,,,,2,21,10.5,0
Jackson,Compton,3,16,5.3,0,12,19,142,0,0,,,,
Parkees,Harris,2,7,3.5,0,,,,,,,,,
Troy,Ellison,1,4,4.0,0,,,,,,2,8,4.0,0
Reed,Styer,1,-15,-15.0,0,0,0,0,0,0,,,,
Drew,Enke,,,,,,,,,,3,47,15.7,0
Carter,Ryan,,,,,,,,,,1,29,29.0,0
Peter,Udoibok,,,,,,,,,,2,23,11.5,0
Jay,Hardy,,,,,,,,,,1,10,10.0,0
EJ,Stoffel,,,,,,,,,,1,4,4.0,0
Jaylon,Washington,,,,,,,,,,0,0,0.0,0
Julius,Reynolds,,,,,,,,,,0,0,0.0,0
