first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Jarod,Epperson,11,57,5.2,0,,,,,,,,,
Thomas,Scholten,8,24,3.0,0,5,10,16,0,0,,,,
Gunnar,Hensley,4,8,2.0,1,15,19,220,3,0,,,,
Max,Grand,5,8,1.6,1,,,,,,1,56,56.0,1
Rashad,Lampkin,1,4,4.0,0,,,,,,,,,
Matt,Francis,,,,,,,,,,2,43,21.5,0
Isaiah,Huber,,,,,,,,,,6,40,6.7,0
Jack,Fisher,,,,,,,,,,4,36,9.0,1
Max,Minor,,,,,,,,,,1,25,25.0,0
Austin,Johnston,,,,,,,,,,3,22,7.3,0
Manny,Struck,,,,,,,,,,2,13,6.5,0
Canyon,Bauer,,,,,,,,,,1,1,1.0,1
Sam,Scholten,,,,,,,,,,0,0,0.0,0
Jacob,Remmert,,,,,,,,,,0,0,0.0,0
