first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Tony,Anger,8,60,7.5,1,,,,,,1,12,12.0,0
Hayden,Ekern,7,22,3.1,0,20,37,278,3,0,,,,
Sam,Backer,6,22,3.7,0,,,,,,1,6,6.0,0
Christian,Vasser,3,8,2.7,0,,,,,,1,6,6.0,0
Carter,Henderson,5,7,1.4,0,,,,,,,,,
TreShawn,Watson,,,,,,,,,,5,107,21.4,3
Jeremiah,Howard,,,,,,,,,,5,70,14.0,0
Gabe,Hagen,,,,,,,,,,6,69,11.5,0
Isaiah,Emanuel,,,,,,,,,,1,8,8.0,0
Neal,May,,,,,,,,,,0,0,0.0,0
Andrew,Laplant,,,,,,,,,,0,0,0.0,0
Grant,Guyett,,,,,,,,,,0,0,0.0,0
