first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Hank,Kraft,14,80,5.7,0,,,,,,3,21,7.0,1
Daniel,Britt,7,33,4.7,0,6,13,68,0,1,,,,
Colton,Hackel,10,29,2.9,0,9,15,63,1,0,,,,
Wyatt,Block,6,14,2.3,0,,,,,,1,-2,-2.0,0
Stanley,Haskins Jr.,4,7,1.8,0,,,,,,1,4,4.0,0
Ty,Wiley,,,,,,,,,,4,41,10.2,0
Zach,Jorgensen,,,,,,,,,,2,26,13.0,0
Cade,Kaiser,,,,,,,,,,2,19,9.5,0
Tanner,Branson,,,,,,,,,,1,13,13.0,0
Jack,Oedekoven,,,,,,,,,,1,9,9.0,0
Jacob,Van Landingham,,,,,,,,,,0,0,0.0,0
Julian,Scott,,,,,,,,,,0,0,0.0,0
