Rushing Att. Gain Loss Net TD Lg. Avg.
Bankhead,Amir 9 27 10 17 0 15 1.9
Henry,Carl 3 5 2 3 0 3 1.0
Washington,Kalani 1 0 2 -2 0 0 -2.0
Moore,Jeremiah 2 0 2 -2 0 0 -1.0
Massoud,Sofian 11 30 44 -14 0 9 -1.3

Passing Cmp Att. Yds. TD INT Long Sack
Massoud,Sofian 21 33 240 1 0 66 6

Receiving Rec. Yds TD Long.
Rufai,Mujeeb 2 75 1 66
Jablonski,Karsyn 4 60 0 30
Young,Jaxon 4 32 0 12
Washington,Kalani 5 28 0 7
Bankhead,Amir 2 17 0 17
Butler,Kevin 2 15 0 11
Sik,Malaki 1 14 0 14
Bodine,Luke 1 -1 0 0
