first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Amir,Bankhead,9,17,1.9,0,,,,,,2,17,8.5,0
Carl,Henry,3,3,1.0,0,,,,,,,,,
Kalani,Washington,1,-2,-2.0,0,,,,,,5,28,5.6,0
Jeremiah,Moore,2,-2,-1.0,0,,,,,,,,,
Sofian,Massoud,11,-14,-1.3,0,21,33,240,1,0,,,,
Mujeeb,Rufai,,,,,,,,,,2,75,37.5,1
Karsyn,Jablonski,,,,,,,,,,4,60,15.0,0
Jaxon,Young,,,,,,,,,,4,32,8.0,0
Kevin,Butler,,,,,,,,,,2,15,7.5,0
Malaki,Sik,,,,,,,,,,1,14,14.0,0
Luke,Bodine,,,,,,,,,,1,-1,-1.0,0
