first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Fynn,Ridgeway,7,31,4.4,0,,,,,,4,36,9.0,1
Tyson,Brandt,4,12,3.0,0,,,,,,0,0,0.0,0
Luke,Imdieke,1,1,1.0,0,,,,,,1,3,3.0,0
Brooks,O'Brien,0,0,0.0,0,,,,,,,,,
Jack,Strand,8,-22,-2.8,0,21,46,300,2,2,,,,
Tommy,Falk,,,,,1,2,2,0,0,,,,
Gage,Florence,,,,,,,,,,7,114,16.3,0
Brady,Perryman,,,,,,,,,,4,109,27.2,1
Madden,Thorson,,,,,,,,,,3,21,7.0,0
Carson,Elbert,,,,,,,,,,2,17,8.5,0
Kelly,Johnson,,,,,,,,,,1,2,2.0,0
Owen,Wiersma,,,,,,,,,,0,0,0.0,0
JD,Czech,,,,,,,,,,0,0,0.0,0
Brady,Borgen,,,,,,,,,,0,0,0.0,0
