first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Ty,Gavin,6,36,6.0,0,,,,,,4,17,4.2,0
Quentin,Pringle,9,30,3.3,0,,,,,,1,12,12.0,0
Cair'ron,Hendred,4,29,7.3,1,,,,,,,,,
Cayden,Holcomb,3,13,4.3,0,,,,,,4,43,10.8,0
Jackson,Flottmeyer,2,10,5.0,0,1,1,12,0,0,,,,
Cole,Stenstrom,6,-15,-2.5,0,20,38,295,1,2,,,,
Sylvere,Campbell,,,,,,,,,,5,130,26.0,1
Jim,Curtin,,,,,,,,,,3,81,27.0,0
Kaleb,Skelly,,,,,,,,,,3,21,7.0,0
Easton,Knoll,,,,,,,,,,1,3,3.0,0
Colton,Geurink,,,,,,,,,,0,0,0.0,0
James,Durst,,,,,,,,,,0,0,0.0,0
