first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Jaylin,Richardson,14,67,4.8,1,,,,,,3,7,2.3,0
Conner,Cordts,7,23,3.3,0,11,20,91,0,3,,,,
Jaylon,Washington,6,20,3.3,0,,,,,,,,,
Reed,Styer,3,3,1.0,0,4,8,50,0,0,,,,
Peter,Udoibok,,,,,,,,,,4,38,9.5,0
Troy,Ellison,,,,,,,,,,2,36,18.0,0
Carter,Ryan,,,,,,,,,,2,27,13.5,0
Drew,Enke,,,,,,,,,,2,22,11.0,0
Julius,Reynolds,,,,,,,,,,1,6,6.0,0
Ricky,Dixon,,,,,,,,,,1,5,5.0,0
Daniel,Hornacek,,,,,,,,,,0,0,0.0,0
Russell,Corrigan,,,,,,,,,,0,0,0.0,0
