first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Sam,Backer,19,130,6.8,0,,,,,,2,20,10.0,0
Hayden,Ekern,16,59,3.7,2,10,17,168,1,1,,,,
Christian,Vasser,12,23,1.9,0,,,,,,,,,
Neal,May,2,12,6.0,0,,,,,,1,5,5.0,0
Jeremiah,Howard,1,9,9.0,0,,,,,,,,,
Isaiah,Emanuel,,,,,,,,,,1,65,65.0,0
Grant,Guyett,,,,,,,,,,3,48,16.0,0
Tony,Anger,,,,,,,,,,1,11,11.0,0
Gabe,Hagen,,,,,,,,,,1,10,10.0,1
TreShawn,Watson,,,,,,,,,,1,9,9.0,0
