first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Akeem,Knox,17,46,2.7,0,,,,,,1,17,17.0,1
Nick,Bohn,7,45,6.4,1,15,23,218,4,0,,,,
Jason,Jones,6,36,6.0,0,,,,,,,,,
Brennan,Hayes,7,16,2.3,0,,,,,,,,,
Bennett,Dannenbring,,,,,1,3,50,1,0,,,,
Kendrick,Watkins-Hogue,,,,,,,,,,5,93,18.6,1
Jadon,Johnson,,,,,,,,,,7,65,9.3,2
Shea,Gossett,,,,,,,,,,1,50,50.0,1
Trey,Miller,,,,,,,,,,1,39,39.0,0
Trevor,Marshall,,,,,,,,,,1,4,4.0,0
Keaten,Bonderson,,,,,,,,,,0,0,0.0,0
Ashten,Schmaderer,,,,,,,,,,0,0,0.0,0
Dane,Petersen,,,,,,,,,,0,0,0.0,0
