first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Andrew,Trandahl,6,56,9.3,0,,,,,,,,,
Carl,Henry,4,10,2.5,0,,,,,,,,,
Jeremiah,Moore,2,-1,-0.5,0,,,,,,,,,
Sofian,Massoud,1,-9,-9.0,0,1,6,10,0,1,,,,
Jordan,Polo Solomon,7,-27,-3.9,0,11,22,120,1,0,,,,
Jaxon,Young,,,,,,,,,,2,56,28.0,0
Mujeeb,Rufai,,,,,,,,,,2,25,12.5,0
Luke,Bodine,,,,,,,,,,3,24,8.0,0
Kevin,Butler,,,,,,,,,,2,13,6.5,0
Karsyn,Jablonski,,,,,,,,,,2,10,5.0,0
Maxwell,Larson,,,,,,,,,,1,2,2.0,1
Malaki,Sik,,,,,,,,,,0,0,0.0,0
Sean,Robinson,,,,,,,,,,0,0,0.0,0
Ethan,Heinrich,,,,,,,,,,0,0,0.0,0
