first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Camden,Dean,6,74,12.3,2,17,22,225,1,1,,,,
Dylan,Rudningen,10,42,4.2,1,,,,,,3,36,12.0,1
Carlson,Tann III,7,36,5.1,0,,,,,,1,9,9.0,0
Matt,Grzybowski,6,33,5.5,0,,,,,,,,,
Christian,Nash,4,31,7.8,1,,,,,,,,,
Mark,Leonard,,,,,,,,,,4,85,21.2,0
Carter,Slykhuis,,,,,,,,,,4,44,11.0,0
Adonis,Hutchinson,,,,,,,,,,2,32,16.0,0
Travis,Yohnke,,,,,,,,,,2,19,9.5,0
Christian,Janis,,,,,,,,,,1,0,0.0,0
