first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Kyle,Walljasper,15,99,6.6,0,20,26,219,3,2,,,,
Daniel,Mitchell,10,78,7.8,1,,,,,,,,,
Ben,Vallafskey,3,39,13.0,1,,,,,,,,,
Derrick,Johnson,8,25,3.1,0,,,,,,,,,
Alex,Riley,5,25,5.0,0,,,,,,,,,
DaShaun,Ames,3,7,2.3,0,0,1,0,0,0,6,98,16.3,3
Aiden,Williams,0,0,0.0,0,,,,,,,,,
Jimmy,Durocher,,,,,,,,,,5,40,8.0,0
Ryder,Patterson,,,,,,,,,,3,34,11.3,0
Sam,Pitz,,,,,,,,,,4,27,6.8,0
Nick,Ojile,,,,,,,,,,2,20,10.0,0
