first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Andrew,Trandahl,9,45,5.0,0,,,,,,3,4,1.3,0
Carl,Henry,11,39,3.5,0,,,,,,5,24,4.8,1
Jeremiah,Moore,5,8,1.6,0,,,,,,0,0,0.0,0
Brayden,Iverson,1,-2,-2.0,0,,,,,,,,,
Jordan,Polo Solomon,8,-18,-2.3,0,24,34,204,2,2,,,,
Karsyn,Jablonski,,,,,,,,,,4,60,15.0,0
Jaxon,Young,,,,,,,,,,3,57,19.0,0
Mujeeb,Rufai,,,,,,,,,,6,36,6.0,1
Luke,Bodine,,,,,,,,,,2,18,9.0,0
Ethan,Heinrich,,,,,,,,,,1,5,5.0,0
Malaki,Sik,,,,,,,,,,0,0,0.0,0
