first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Josh,Oehm,13,23,1.8,0,9,26,151,2,1,,,,
Jacob,Honstetter,2,5,2.5,0,,,,,,1,6,6.0,0
Greg,Schafer,1,1,1.0,0,,,,,,1,21,21.0,0
Tryg,Auten,1,1,1.0,0,,,,,,3,51,17.0,1
Jake,Anderson,1,-1,-1.0,0,,,,,,0,0,0.0,0
Kendon,Krogman,1,-3,-3.0,0,1,1,6,0,0,,,,
Shaun,Walrath,,,,,,,,,,1,42,42.0,1
David,Ola-Kazeem,,,,,,,,,,1,17,17.0,0
Colin,Maher,,,,,,,,,,2,14,7.0,0
Nathan,Stearns,,,,,,,,,,1,6,6.0,0
Matt,Willis,,,,,,,,,,0,0,0.0,0
Zander,Wolf,,,,,,,,,,0,0,0.0,0
Stevie,McMath,,,,,,,,,,0,0,0.0,0
