first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Sam,Backer,14,93,6.6,1,,,,,,2,24,12.0,0
Mitchell,Thompson,3,82,27.3,1,0,2,0,0,0,,,,
Carter,Henderson,4,24,6.0,1,,,,,,,,,
Neal,May,2,19,9.5,0,,,,,,0,0,0.0,0
Hayden,Ekern,4,17,4.3,1,10,15,189,2,0,,,,
Christian,Vasser,6,17,2.8,1,,,,,,3,53,17.7,0
Tony,Anger,,,,,,,,,,1,57,57.0,0
Grant,Guyett,,,,,,,,,,1,26,26.0,0
Anthony,Valainis,,,,,,,,,,1,13,13.0,0
TreShawn,Watson,,,,,,,,,,1,8,8.0,1
Isaiah,Emanuel,,,,,,,,,,1,8,8.0,1
