first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Jayden,Washington,9,43,4.8,0,,,,,,0,0,0.0,0
Justin,Incaprera,8,20,2.5,0,,,,,,,,,
Jarrett,Gronski,6,12,2.0,0,,,,,,,,,
Antonio,Brown,3,11,3.7,0,,,,,,,,,
Sam,McGath,11,2,0.2,1,16,31,186,2,1,,,,
Brice,Peters,,,,,,,,,,9,133,14.8,2
Aundreus,Griffin,,,,,,,,,,3,30,10.0,0
Drayton,Lehman,,,,,,,,,,4,23,5.8,0
Joey,Baron,,,,,,,,,,0,0,0.0,0
Kaleb,Miller,,,,,,,,,,0,0,0.0,0
