first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Camden,Dean,15,53,3.5,0,23,41,285,2,1,,,,
Dylan,Rudningen,11,40,3.6,1,,,,,,2,23,11.5,0
Carlson,Tann III,7,18,2.6,0,,,,,,,,,
Matt,Grzybowski,2,3,1.5,0,,,,,,,,,
Carter,Slykhuis,1,2,2.0,0,,,,,,8,83,10.4,0
Hank,Brown Jr.,1,1,1.0,0,,,,,,3,31,10.3,0
Adonis,Hutchinson,,,,,,,,,,3,49,16.3,1
Mark,Leonard,,,,,,,,,,3,48,16.0,0
Christian,Janis,,,,,,,,,,2,34,17.0,1
Travis,Yohnke,,,,,,,,,,2,17,8.5,0
Dahlton,Wood,,,,,,,,,,0,0,0.0,0
