first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Josh,Buri,8,54,6.8,0,,,,,,0,0,0.0,0
Quentin,Pringle,13,33,2.5,0,,,,,,1,23,23.0,0
Cair'ron,Hendred,12,31,2.6,2,,,,,,,,,
Ty,Gavin,3,13,4.3,0,,,,,,,,,
Cole,Stenstrom,3,1,0.3,0,18,28,344,2,1,,,,
Sylvere,Campbell,,,,,,,,,,7,142,20.3,0
Joe,Sikma,,,,,,,,,,5,67,13.4,1
Maurice,Densmore,,,,,,,,,,2,62,31.0,1
Cayden,Holcomb,,,,,,,,,,2,50,25.0,0
Colton,Geurink,,,,,,,,,,1,0,0.0,0
