first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Dylan,Rudningen,10,42,4.2,0,,,,,,,,,
Christian,Nash,2,16,8.0,0,,,,,,,,,
Matt,Grzybowski,4,12,3.0,0,,,,,,1,-2,-2.0,0
Carlson,Tann III,1,10,10.0,0,,,,,,1,4,4.0,0
Camden,Dean,6,5,0.8,0,17,24,166,3,0,,,,
Carter,Slykhuis,,,,,,,,,,6,55,9.2,2
Mark,Leonard,,,,,,,,,,1,32,32.0,0
Jaelon,Taylor,,,,,,,,,,2,28,14.0,0
Adonis,Hutchinson,,,,,,,,,,4,27,6.8,0
Travis,Yohnke,,,,,,,,,,1,15,15.0,1
Christian,Janis,,,,,,,,,,1,7,7.0,0
Hank,Brown Jr.,,,,,,,,,,0,0,0.0,0
