first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Hayden,Ekern,8,52,6.5,1,14,17,169,1,0,,,,
Tony,Anger,10,43,4.3,1,,,,,,,,,
Christian,Vasser,14,42,3.0,2,,,,,,1,4,4.0,0
Sam,Backer,10,33,3.3,0,,,,,,1,20,20.0,0
Mitchell,Thompson,4,27,6.8,0,1,3,2,0,1,,,,
Carter,Henderson,5,10,2.0,0,,,,,,1,2,2.0,0
Gabe,Hagen,,,,,,,,,,6,76,12.7,1
Grant,Guyett,,,,,,,,,,3,48,16.0,0
Neal,May,,,,,,,,,,1,16,16.0,0
Jeremiah,Howard,,,,,,,,,,1,4,4.0,0
Jake,Cicero,,,,,,,,,,1,1,1.0,0
TreShawn,Watson,,,,,,,,,,0,0,0.0,0
