first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Jayden,Washington,8,57,7.1,1,,,,,,1,10,10.0,0
Jarrett,Gronski,6,36,6.0,1,,,,,,,,,
Justin,Incaprera,6,34,5.7,0,,,,,,,,,
Sam,McGath,6,28,4.7,1,14,23,263,2,2,,,,
Connor,Carver,3,17,5.7,0,2,2,38,0,0,,,,
Antonio,Brown,4,14,3.5,1,,,,,,,,,
Zach,Romak,1,5,5.0,0,,,,,,,,,
Uriah,Glynn,4,5,1.3,0,,,,,,,,,
Brice,Peters,,,,,,,,,,4,108,27.0,0
Drayton,Lehman,,,,,,,,,,6,92,15.3,2
Ethan,Biehn,,,,,,,,,,1,35,35.0,0
Aundreus,Griffin,,,,,,,,,,1,33,33.0,0
Kaleb,Miller,,,,,,,,,,3,23,7.7,0
