first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Jacob,Honstetter,11,14,1.3,0,,,,,,2,28,14.0,0
Zander,Wolf,6,8,1.3,0,,,,,,,,,
Stevie,McMath,1,4,4.0,0,,,,,,0,0,0.0,0
Kendon,Krogman,7,2,0.3,0,7,19,58,0,1,,,,
Mason,Carver,1,0,0.0,0,,,,,,,,,
Treay,Taylor,2,-5,-2.5,0,,,,,,0,0,0.0,0
Drew,Kluender,8,-19,-2.4,0,3,10,15,0,0,,,,
Tryg,Auten,,,,,,,,,,3,27,9.0,0
Jake,Anderson,,,,,,,,,,1,5,5.0,0
David,Ola-Kazeem,,,,,,,,,,1,4,4.0,0
Omar,Abdi,,,,,,,,,,1,4,4.0,0
Jonathan,Wamsley,,,,,,,,,,1,4,4.0,0
Greg,Schafer,,,,,,,,,,1,1,1.0,0
Cade,Eddington,,,,,,,,,,0,0,0.0,0
Matt,Willis,,,,,,,,,,0,0,0.0,0
Shaun,Walrath,,,,,,,,,,0,0,0.0,0
