first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Wyatt,Block,14,88,6.3,1,,,,,,,,,
Daniel,Britt,8,49,6.1,0,9,14,94,1,0,,,,
Hank,Kraft,13,38,2.9,1,,,,,,,,,
Stanley,Haskins Jr.,2,12,6.0,0,,,,,,,,,
Colton,Hackel,5,5,1.0,0,2,2,41,1,0,,,,
Ty,Wiley,,,,,,,,,,6,57,9.5,1
Cade,Kaiser,,,,,,,,,,3,55,18.3,0
Tanner,Branson,,,,,,,,,,2,23,11.5,1
Jacob,Van Landingham,,,,,,,,,,0,0,0.0,0
Zach,Jorgensen,,,,,,,,,,0,0,0.0,0
Zach,Kraft,,,,,,,,,,0,0,0.0,0
